student_id,first_name,last_name,email,program_name,year
1,Danielle,Anderson,danielle.anderson@university.edu,Computer Science,1
2,Angel,Hart,angel.hart@university.edu,Psychology,1
3,Joshua,Stone,joshua.stone@university.edu,Economics,3
4,Jeffrey,Welch,jeffrey.welch@university.edu,Biology,3
5,Jill,Vasquez,jill.vasquez@university.edu,Biology,4
6,Erica,White,erica.white@university.edu,History,4
7,Patricia,Lynch,patricia.lynch@university.edu,Computer Science,2
8,Christopher,Erickson,christopher.erickson@university.edu,Economics,4
9,Robert,Krause,robert.krause@university.edu,Mathematics,3
10,Anthony,Smith,anthony.smith@university.edu,Computer Science,2
11,Jeffery,Johnson,jeffery.johnson@university.edu,Chemistry,4
12,William,Garrett,william.garrett@university.edu,Business,1
13,Anthony,Wilson,anthony.wilson@university.edu,Psychology,3
14,James,Charles,james.charles@university.edu,Psychology,4
15,Debra,Marsh,debra.marsh@university.edu,Psychology,3
16,Amy,Duarte,amy.duarte@university.edu,Psychology,4
17,Jeffrey,Gutierrez,jeffrey.gutierrez@university.edu,Chemistry,1
18,Bridget,Cook,bridget.cook@university.edu,Information Technology,3
19,Lisa,Castro,lisa.castro@university.edu,History,4
20,Adam,Walsh,adam.walsh@university.edu,Biology,3
21,Linda,Smith,linda.smith@university.edu,Chemistry,4
22,Helen,Harris,helen.harris@university.edu,Physics,2
23,Matthew,Campbell,matthew.campbell@university.edu,Information Technology,3
24,Eric,Tyler,eric.tyler@university.edu,Business,2
25,Susan,Parker,susan.parker@university.edu,Psychology,4
26,Matthew,Hunter,matthew.hunter@university.edu,Economics,1
27,Christopher,Nguyen,christopher.nguyen@university.edu,Biology,2
28,Colin,Smith,colin.smith@university.edu,History,1
29,Melanie,Jennings,melanie.jennings@university.edu,Chemistry,3
30,Cassandra,Peterson,cassandra.peterson@university.edu,Biology,1
31,Lindsay,Ramsey,lindsay.ramsey@university.edu,Biology,2
32,Jessica,Gilbert,jessica.gilbert@university.edu,Mathematics,4
33,Amanda,Johnson,amanda.johnson@university.edu,Computer Science,2
34,Teresa,Thompson,teresa.thompson@university.edu,Chemistry,1
35,Nicholas,Rivera,nicholas.rivera@university.edu,History,1
36,Andrea,Morgan,andrea.morgan@university.edu,Computer Science,1
37,Maria,Chambers,maria.chambers@university.edu,History,4
38,Christine,Hendricks,christine.hendricks@university.edu,History,3
39,Michelle,Robles,michelle.robles@university.edu,Mathematics,4
40,Barbara,Brewer,barbara.brewer@university.edu,Economics,1
41,Janet,Olson,janet.olson@university.edu,Information Technology,2
42,Brandon,Burton,brandon.burton@university.edu,Psychology,1
43,Jeremy,Mcclain,jeremy.mcclain@university.edu,Psychology,2
44,Keith,Herrera,keith.herrera@university.edu,Physics,3
45,Christopher,Rogers,christopher.rogers@university.edu,Computer Science,4
46,Jesse,Bowers,jesse.bowers@university.edu,Business,2
47,Craig,Gutierrez,craig.gutierrez@university.edu,Biology,4
48,Joshua,Newton,joshua.newton@university.edu,History,3
49,Cynthia,Conley,cynthia.conley@university.edu,Economics,2
50,Michael,Evans,michael.evans@university.edu,Psychology,4
51,Mitchell,Hardy,mitchell.hardy@university.edu,Psychology,2
52,Jason,Stewart,jason.stewart@university.edu,Information Technology,1
53,Joseph,Herrera,joseph.herrera@university.edu,Physics,4
54,Sharon,Clark,sharon.clark@university.edu,Biology,4
55,Deborah,Jennings,deborah.jennings@university.edu,Biology,1
56,Chelsea,Marsh,chelsea.marsh@university.edu,Computer Science,4
57,George,Barron,george.barron@university.edu,Chemistry,4
