student_id,first_name,last_name,email,program_name,year
1,Danielle,Dean,danielle.dean@university.edu,Computer Science,1
2,Angel,Johnson,angel.johnson@university.edu,Psychology,3
3,Joshua,Long,joshua.long@university.edu,Economics,4
4,Jeffrey,Elliott,jeffrey.elliott@university.edu,Biology,4
5,Jill,Johnson,jill.johnson@university.edu,Biology,2
6,Erica,Day,erica.day@university.edu,History,2
7,Patricia,Taylor,patricia.taylor@university.edu,Computer Science,3
8,Christopher,Murray,christopher.murray@university.edu,Economics,1
9,Robert,Williams,robert.williams@university.edu,Mathematics,2
10,Anthony,Gray,anthony.gray@university.edu,Computer Science,1
11,Jeffery,Lewis,jeffery.lewis@university.edu,Chemistry,4
12,William,Murphy,william.murphy@university.edu,Business,3
13,Anthony,Juarez,anthony.juarez@university.edu,Psychology,4
14,James,Gray,james.gray@university.edu,Psychology,4
15,Debra,Walton,debra.walton@university.edu,Psychology,4
16,Amy,Decker,amy.decker@university.edu,Psychology,1
17,Jeffrey,King,jeffrey.king@university.edu,Chemistry,4
18,Bridget,Miller,bridget.miller@university.edu,Information Technology,1
19,Lisa,Smith,lisa.smith@university.edu,History,2
20,Adam,Ryan,adam.ryan@university.edu,Biology,3
21,Linda,Cooke,linda.cooke@university.edu,Chemistry,2
22,Helen,Bell,helen.bell@university.edu,Physics,1
23,Matthew,Santos,matthew.santos@university.edu,Information Technology,1
24,Eric,Harrington,eric.harrington@university.edu,Business,4
25,Susan,Pearson,susan.pearson@university.edu,Psychology,2
26,Matthew,Webster,matthew.webster@university.edu,Economics,2
27,Christopher,Herring,christopher.herring@university.edu,Biology,4
28,Colin,Gonzalez,colin.gonzalez@university.edu,History,1
29,Melanie,Smith,melanie.smith@university.edu,Chemistry,4
30,Cassandra,Hernandez,cassandra.hernandez@university.edu,Biology,4
31,Lindsay,Martinez,lindsay.martinez@university.edu,Biology,3
32,Jessica,Caldwell,jessica.caldwell@university.edu,Mathematics,1
33,Amanda,Elliott,amanda.elliott@university.edu,Computer Science,1
34,Teresa,Robinson,teresa.robinson@university.edu,Chemistry,2
35,Nicholas,Lyons,nicholas.lyons@university.edu,History,3
36,Andrea,Wang,andrea.wang@university.edu,Computer Science,1
37,Maria,Jackson,maria.jackson@university.edu,History,2
38,Christine,Lawson,christine.lawson@university.edu,History,1
