student_id,first_name,last_name,email,program_name,year
1,Danielle,Dean,pollardmichael@example.net,CS,1
2,Angel,Johnson,bruce43@example.org,Physics,3
3,Joshua,Long,ndavis@example.net,Math,4
4,Jeffrey,Elliott,williamsmatthew@example.org,DS,4
5,Jill,Johnson,caseyhubbard@example.org,DS,2
6,Erica,Day,lisahall@example.org,CyberSec,2
7,Patricia,Taylor,ramireztracey@example.org,CS,3
8,Christopher,Murray,lauren10@example.org,Math,1
9,Robert,Williams,howardkristina@example.net,IT,2
10,Anthony,Gray,alfred40@example.org,CS,1
11,Jeffery,Lewis,vfox@example.org,DS,4
12,William,Murphy,xwest@example.net,CyberSec,3
13,Anthony,Juarez,hayesjeffrey@example.net,Physics,4
14,James,Gray,acostaregina@example.net,Physics,4
15,Debra,Walton,stephen00@example.com,Physics,4
16,Amy,Decker,gsimmons@example.com,Physics,1
17,Jeffrey,King,fjones@example.com,DS,4
18,Bridget,Miller,cameronhill@example.net,CS,1
19,Lisa,Smith,oscar98@example.com,Physics,2
20,Adam,Ryan,bwagner@example.org,DS,3
21,Linda,Cooke,farrelldebra@example.net,DS,2
22,Helen,Bell,russellbeasley@example.com,SE,1
23,Matthew,Santos,maria66@example.net,IT,1
24,Eric,Harrington,edwardslarry@example.com,CyberSec,4
25,Susan,Pearson,stephanie71@example.org,Physics,2
26,Matthew,Webster,daviscolin@example.net,Math,2
27,Christopher,Herring,lisa80@example.net,SE,4
28,Colin,Gonzalez,elizabeth65@example.net,Physics,1
29,Melanie,Smith,uparrish@example.org,DS,4
30,Cassandra,Hernandez,caroline51@example.net,DS,4
31,Lindsay,Martinez,ericolson@example.org,DS,3
32,Jessica,Caldwell,megan51@example.com,IT,1
33,Amanda,Elliott,lindsaybruce@example.net,CS,1
34,Teresa,Robinson,lynchdiane@example.net,DS,2
35,Nicholas,Lyons,anthony44@example.com,CyberSec,3
36,Andrea,Wang,adam29@example.net,CS,1
37,Maria,Jackson,vjones@example.net,CyberSec,2
38,Christine,Lawson,davisalyssa@example.com,Physics,1
39,Michelle,Adkins,kchavez@example.com,IT,3
40,Barbara,Wilson,jennifer99@example.org,Math,1
41,Janet,Weiss,moorekaren@example.org,IT,3
42,Brandon,Oconnell,nelsonebony@example.com,Physics,1
43,Jeremy,Rodriguez,nperry@example.net,Math,1
44,Keith,Johnson,reeddaniel@example.net,SE,1
45,Christopher,Collins,trose@example.org,CS,4
46,Jesse,Byrd,randallgreene@example.org,CyberSec,1
47,Craig,Rubio,kevinclark@example.org,DS,2
48,Joshua,Sanders,keith10@example.com,CyberSec,3
49,Cynthia,Espinoza,ythompson@example.net,Math,3
50,Michael,Jones,vincentwhitaker@example.com,Physics,3
51,Mitchell,Vaughn,sandersjudy@example.com,Physics,4
52,Jason,Burton,stevenschristian@example.com,IT,2
53,Joseph,Garcia,tberry@example.net,SE,4
54,Sharon,Barton,zroberts@example.org,DS,2
55,Deborah,Jefferson,george97@example.net,DS,4
56,Chelsea,Burke,christopher13@example.com,CS,3
57,George,Martinez,zwarren@example.com,DS,3
58,Jessica,Riggs,jeffrey21@example.net,IT,4
59,Frank,Patton,schmidtjames@example.com,Physics,4
60,Noah,Reed,jessica23@example.org,Math,4
61,Veronica,Patterson,jonathanthompson@example.org,CyberSec,3
62,Danielle,Wood,thompsonkendra@example.com,Physics,1
63,Angela,Hunter,wwebster@example.net,SE,2
64,Gabrielle,Peterson,kmaldonado@example.net,CyberSec,1
65,Megan,Atkinson,michelle52@example.com,SE,4
66,Kimberly,Short,harrisoncrystal@example.com,SE,1
67,Jeremy,Garcia,bellcharles@example.com,CyberSec,1
68,Antonio,Yu,xjohnson@example.com,SE,1
69,Leslie,Reid,newmantiffany@example.org,CS,3
70,Joseph,Poole,jford@example.net,DS,3
71,Jason,Zimmerman,colelisa@example.net,Physics,4
72,Sherri,Graham,marcalvarez@example.org,IT,2
73,Nancy,Gross,hayeslisa@example.com,DS,2
74,Leonard,Sheppard,wagnergerald@example.org,CS,1
75,Diana,Nelson,hritter@example.net,Math,1
76,Randall,Morton,michaelhardin@example.com,DS,2
77,Robin,Medina,rschroeder@example.net,SE,4
78,Stephen,Webb,mccormickdeborah@example.org,IT,3
79,Joseph,Graham,cody64@example.com,DS,4
80,John,Simon,mathewaguilar@example.org,Math,1
81,Anna,Adams,kyle62@example.net,CyberSec,1
82,Jose,Christian,collinsnicholas@example.com,DS,4
83,Brenda,Rivas,elizabethcalderon@example.net,IT,1
84,Rachael,Miller,lucasrodney@example.com,Physics,1
85,Reginald,Keith,coxhenry@example.org,Math,2
86,Jeffrey,Sanchez,stacey73@example.org,Math,4
87,Whitney,Marshall,ericphillips@example.org,CS,3
88,William,Bishop,stanleynancy@example.net,SE,1
89,Christopher,Gray,carlamoore@example.org,Physics,4
90,Brandon,Johnson,jenniferwilliams@example.com,Physics,4
91,Daniel,Rosales,tarabishop@example.net,DS,4
92,Courtney,White,pyoung@example.com,Physics,4
93,Laura,Lewis,mmckee@example.com,Physics,1
94,Robert,Salinas,smurray@example.com,SE,4
95,Bryan,Peterson,mburch@example.net,CyberSec,2
96,Patrick,Beard,moniquewilliams@example.com,SE,4
97,Wendy,Haynes,angela18@example.org,IT,3
98,Allison,Hill,christopher24@example.com,Math,4
99,Tasha,Smith,mariahdavis@example.org,Math,3
100,Michelle,Vaughan,bwilkerson@example.com,CS,3
101,Alexander,Miller,sandersnathaniel@example.com,Physics,3
102,Jennifer,Cortez,brooksanthony@example.org,IT,4
103,Erin,Freeman,lacey20@example.com,Physics,3
104,Amanda,Chang,ihorton@example.net,CS,1
105,Joseph,Vaughn,awest@example.org,Physics,4
106,Danielle,Brewer,scottmary@example.net,Physics,3
107,Daniel,Henry,srodriguez@example.org,Physics,2
108,Ryan,Mcguire,david36@example.net,Math,3
109,Shawn,Davis,fbrown@example.net,DS,4
110,Stephanie,Walker,chenbailey@example.net,Math,4
111,Nancy,Holt,kellysmith@example.com,IT,4
112,Jose,Torres,ashleylopez@example.net,Physics,2
113,Vincent,Perkins,millsmichael@example.net,DS,4
114,Guy,Kennedy,myerstheodore@example.net,DS,2
115,Rita,Schmidt,qzavala@example.net,DS,3
116,Monica,Coleman,kellycarlos@example.org,DS,3
117,Kenneth,Reese,ingramjill@example.com,CS,1
118,Danielle,Rivera,bradleypayne@example.net,CS,2
119,Chelsea,Warner,mariacohen@example.net,IT,1
